Original File Name,Renamed File Name,Associated MIA Object,Object Credit / Description,Photo Credit,Image Source,Contact Info,Permissions,Image Received & QC'd,Image Pass QC,Image Ready for Release,Additional Notes,,,
2000_377,2014_TDX_MIAArtStories_063.tif,29.2,"Shiva Nataraja Chola dynasty Bronze; Overall: 35 x 28 x 10 in. (88.9 x 71.12 x 25.4 cm) Weight: 105 lb. (47.6273 kg) Dallas Museum of Art, gift of Mrs. Eugene McDermott, the Hamon Charitable Foundation, and an anonymous donor in honor of David T. Owsley, with additional funding from The Cecil and Ida Green Foundation and the Cecil and Ida Green Acquisition Fund",,http://museum.dma.org:9090/emuseum/view/objects/asitem/2038/54/title-desc?t:state:flow=2fcca545-3705-49a8-8245-eefbd4f1a17b,Giselle Castro-Brightenburg <GCastro-Brightenburg@dma.org>,,Yes,Yes,Yes,"Shiva Nataraja, public domain, indefinite use.(They also sent detail supplemental images)",,,
Alfred_Ford_(Ambarisha_Das)_puja_ISKCON_Tirupati_2007,2014_TDX_MIAArtStories_075.tif,29.2,"""Alfred Ford (Ambarisha Das) puja ISKCON Tirupati 2007"" by Ilya Mauter - Own work. Licensed under Creative Commons Attribution-Share Alike 3.0 via Wikimedia Commons - http://commons.wikimedia.org/wiki/File:Alfred_Ford_(Ambarisha_Das)_puja_ISKCON_Tirupati_2007.JPG#mediaviewer/File:Alfred_Ford_(Ambarisha_Das)_puja_ISKCON_Tirupati_2007.JPG",,http://commons.wikimedia.org/wiki/Category:Puja#mediaviewer/File:Alfred_Ford_%28Ambarisha_Das%29_puja_ISKCON_Tirupati_2007.JPG,,,Yes,Yes,Yes,Shiva Nataraja (Puja),,,
ApR black background 12.12.13,2014_TDX_MIAArtStories_076.tif,29.2,"Aparna Ramaswamy, Ragamala Dance, 2013",Ragamala Dance,Ragamala Dance,,,Yes,Yes,Yes,Shiva Nataraja,,,
Chidambaram_festival,2014_TDX_MIAArtStories_078.tif,29.2,Chidambaram Festival,"By Flickr user Melanie Molitor (http://www.flickr.com/photos/melanie-m/2679699134/) [CC-BY-2.0 (http://creativecommons.org/licenses/by/2.0)], via Wikimedia Commons",http://commons.wikimedia.org/wiki/File:Chidambaram_festival.jpg,,,Yes,Yes,Yes,Shiva Nataraja (Portable gods Temple Car:),,,
Datura_stramonium_white_flower,2014_TDX_MIAArtStories_079.tif,29.2,Datura Stramonium white flower,"""Datura stramonium white flower"" by Júlio Reis - Original file. Licensed under Creative Commons Attribution-Share Alike 3.0 via Wikimedia Commons - http://commons.wikimedia.org/wiki/File:Datura_stramonium_white_flower.jpg#mediaviewer/File:Datura_stramonium_white_flower.jpg",,,,Yes,Yes,Yes,Shiva Datura flower: ,,,
Gangaikondacholapuram_natarajar,2014_TDX_MIAArtStories_081.tif,29.2,Chola period Nataraja on Brihadisvara Temple,"By Rsp3282 (Own work) [CC-BY-SA-3.0 (http://creativecommons.org/licenses/by-sa/3.0)], via Wikimedia Commons",http://commons.wikimedia.org/wiki/File:Gangaikondacholapuram_natarajar.JPG,,,Yes,Yes,Yes,Shiva Nataraja (chola period Nataraja on Temple),,,
Kasdorf bronze big,2014_TDX_MIAArtStories_084.tif,29.2,Wax casting,Katherine Kasdorf,Katherine Kasdorf,,,Yes,Yes,Yes,Shiva Nataraja (wax casting),,,
MRBZ0783,2014_TDX_MIAArtStories_085.tif,29.2,"Ashwini Ramaswamy, Ragamala Dance, 2013","Tim Rummelhoff, Ragamala Dance",Ragamala Dance,,,Yes,Yes,Yes,Shiva Nataraja,,,
Ringworm_Cassia_(Senna_alata),2014_TDX_MIAArtStories_091.tif,29.2,Cassia plant,"By Mokkie (Own work) [CC-BY-SA-3.0 (http://creativecommons.org/licenses/by-sa/3.0)], via Wikimedia Commons",,,,Yes,Yes,Yes,Shiva Cassia Leaves:,,,
Sadu_Kathmandu_Pashupatinath_2006_Luca_Galuzzi,2014_TDX_MIAArtStories_093.tif,29.2,Hindu dreadlocks,"I, Luca Galuzzi [CC-BY-SA-2.5 (http://creativecommons.org/licenses/by-sa/2.5)], via Wikimedia Commons",Hindu dreadlocks: ,,,Yes,Yes,Yes,Shiva Nataraja (Holy Hair),,,
